,ItemName,average_price
0,Aqueous Liquids,1.94
1,Autotrophs,5.43
23,Bacteria,414.56
2,Base Metals,2.64
30,Biocells,9822.02
18,Biofuels,277.21
27,Biomass,879.2
54,Biotech Research Reports,113697.38
75,Broadcast Node,2181468.86
55,Camera Drones,98565.94
3,Carbon Compounds,1.45
26,Chiral Structures,923.39
4,Complex Organisms,6.13
56,Condensates,51755.92
31,Construction Blocks,12183.91
32,Consumer Electronics,13953.53
33,Coolant,9143.25
57,Cryoprotectant Solution,133711.38
58,Data Chips,
22,Electrolytes,428.86
34,Enriched Uranium,11308.21
5,Felsic Magma,4.58
35,Fertilizer,11693.71
59,Gel-Matrix Biopaste,125970.93
36,Gen. Enhanced Livestock,
60,Guidance Systems,97596.63
61,Hazmat Detection Systems,133255.67
6,Heavy Metals,3.06
62,Hermetic Membranes,107711.86
63,High-Tech Transmitters,
64,Industrial Explosives,79477.22
16,Industrial Fibers,773.45
76,Integrity Response Drones,2596465.24
7,Ionic Solutions,3.31
37,Livestock,15447.26
38,Mechanical Parts,9491.18
8,Micro Organisms,
39,Microfiber Shielding,16170.87
40,Miniature Electronics,14129.76
41,Nanites,7960.61
77,Nano-Factory,1183357.93
65,Neocoms,95851.07
9,Noble Gas,1.77
10,Noble Metals,5.0
11,Non-CS Crystals,6.19
66,Nuclear Reactors,91646.57
78,Organic Mortar Applicators,1048472.92
42,Oxides,8164.43
28,Oxidizing Compound,744.0
24,Oxygen,400.57
67,Planetary Vehicles,119976.75
12,Planktic Colonies,4.42
29,Plasmoids,546.52
43,Polyaramids,17136.08
44,Polytextiles,11325.04
25,Precious Metals,552.06
19,Proteins,1072.34
13,Reactive Gas,4.22
17,Reactive Metals,577.0
79,Recursive Computing Module,1676697.97
68,Robotics,98116.84
45,Rocket Fuel,11478.5
80,Self-Harmonizing Power Core,2121467.6
46,Silicate Glass,17637.62
20,Silicon,850.33
69,Smartfab Units,94167.1
81,Sterile Conduits,1440239.15
70,Supercomputers,105881.61
47,Superconductors,11392.45
48,Supertensile Plastics,14470.34
14,Suspended Plasma,2.79
49,Synthetic Oil,9142.53
71,Synthetic Synapses,98784.68
50,Test Cultures,9530.26
21,Toxic Metals,494.3
72,Transcranial Microcontrollers,
51,Transmitter,15070.08
73,Ukomi Super Conductors,
74,Vaccines,
52,Viral Agent,12847.24
15,Water,415.48
53,Water-Cooled CPU,7954.43
82,Wetware Mainframe,2363836.33
